"JourJ"	"Annee"	"Mois"	"Jour"	"Tmin"	"Tmax"	"ETP"	"RAD"	"Pluie"
75	2008	3	15	12	18	2	7.17	4.8
76	2008	3	16	8	15.4	2.6	11.52	4
77	2008	3	17	8.5	16.5	1.9	11.86	0
78	2008	3	18	6.1	15.1	1.4	12.87	0
79	2008	3	19	1	12.3	2	19.41	0
80	2008	3	20	-1	11	1.8	19.4	0
81	2008	3	21	3	9.5	1.1	4.23	11
82	2008	3	22	5	9	1.5	11.57	2
83	2008	3	23	2	8	2.3	12.06	3
84	2008	3	24	1	9.5	0.6	6.52	3
85	2008	3	25	8	12.5	1.5	9.29	4
86	2008	3	26	7	11	1.9	8.99	4
87	2008	3	27	4	8	0.7	6.25	3
88	2008	3	28	5	15.5	1.7	7.6	1
89	2008	3	29	5	18	2.4	19.8	0
90	2008	3	30	5.5	15.5	1.6	6.43	6.8
91	2008	3	31	5	15.2	1.8	13.76	3.5
92	2008	4	1	5	18	1.8	14.99	1
93	2008	4	2	11	19	2.6	13.5	0
94	2008	4	3	6.5	16.5	2	10.82	0
95	2008	4	4	6	18	2.3	22.84	0
96	2008	4	5	3.5	20.6	2.7	23.26	0
97	2008	4	6	5.5	13.5	1.8	7.38	0
98	2008	4	7	0	13.5	2.2	21.95	2.7
99	2008	4	8	6.2	18	2.4	10.85	2
100	2008	4	9	10	25.5	3.5	14.93	6.5
101	2008	4	10	7.5	18	2.3	10.19	17.5
102	2008	4	11	6.4	13.9	1.8	11.9	0
103	2008	4	12	3.5	16	1.8	17.32	2.5
104	2008	4	13	5.1	19.5	2.8	18.29	4
105	2008	4	14	6	15	2.7	21.04	1
106	2008	4	15	3.6	17.5	2.4	22.16	0
107	2008	4	16	4.3	19.6	2.7	20.57	0
108	2008	4	17	6	14.2	2.3	7.16	13.8
109	2008	4	18	7.9	14	1.6	5	1.4
110	2008	4	19	6.5	18.2	2.2	19.79	0
111	2008	4	20	10.6	15	1.5	8.12	20
112	2008	4	21	8	14	1.2	10.65	8.6
113	2008	4	22	7	16.1	2.2	9.65	0.8
114	2008	4	23	7.8	19.4	2.2	13.64	0.4
115	2008	4	24	7.5	22.5	3.1	25.63	0
116	2008	4	25	8.5	22.2	3	24.1	0
117	2008	4	26	10.5	26	3.7	25.63	0
118	2008	4	27	12	24	3.7	20.51	0.8
119	2008	4	28	7.8	14	1.6	5.64	2.3
120	2008	4	29	6.5	20.5	3.1	24.31	1.9
121	2008	4	30	7	15	3.4	20.86	0
122	2008	5	1	7	23	3.2	25.87	0
123	2008	5	2	10	26.5	3.8	26.03	0
124	2008	5	3	12.5	28	4.2	23.35	0
125	2008	5	4	15	29.5	4.3	23.9	6
126	2008	5	5	14	17	1.8	5.84	13.8
127	2008	5	6	11.5	22.5	2.4	15.76	0
128	2008	5	7	11.3	24.9	4.1	25.81	0
129	2008	5	8	13	24	3.8	16.52	0
130	2008	5	9	13.5	20.1	3.2	8.43	0
131	2008	5	10	13.5	22	4.1	13.16	0
132	2008	5	11	13	23	4.3	25.44	0
133	2008	5	12	12	24.5	3.6	26.02	0.3
134	2008	5	13	11	25.5	4	27.94	0
135	2008	5	14	13	19.5	1.6	11.22	2.6
136	2008	5	15	12.5	24.9	3.4	16.99	1
137	2008	5	16	11.5	19.5	2	8.21	2.5
138	2008	5	17	12	20.5	2.7	20.55	0
139	2008	5	18	10	20.5	2.9	20.54	0
140	2008	5	19	11.2	22	2.8	22.71	0
141	2008	5	20	10.1	23.5	3.5	24.63	0
142	2008	5	21	9.5	24.5	3.9	28.29	0
143	2008	5	22	11.5	21.3	2.8	15.12	0
144	2008	5	23	13.4	23	2.2	11.36	0
145	2008	5	24	15.1	22	3.2	15.84	44.3
146	2008	5	25	11.9	14.9	1	4.03	20
147	2008	5	26	12.8	21	2.5	16.83	2.5
148	2008	5	27	12	18	1.7	5.19	12.9
149	2008	5	28	11	22	2.7	23.43	0
150	2008	5	29	11	25.5	3.9	27.72	0
151	2008	5	30	12.5	25	3.4	16.87	0
152	2008	5	31	13.5	24	2.4	16.83	10
153	2008	6	1	15.1	24	3.3	17.02	20.2
154	2008	6	2	13	21.5	3.9	18.13	0
155	2008	6	3	13.4	21	3.1	17.8	6.2
156	2008	6	4	11.9	22.4	3.5	29.3	0
157	2008	6	5	10	18.2	2.5	14.73	0
158	2008	6	6	11.6	19.9	3.6	17.14	6.3
159	2008	6	7	11	18	2.5	20.08	0
160	2008	6	8	10	17	2.1	8.59	1.6
161	2008	6	9	14	24.6	3.3	23.16	0.3
162	2008	6	10	11	26.2	2.7	16.96	31.5
163	2008	6	11	14.5	24.5	3.5	14.71	3
164	2008	6	12	15	26	4.5	28.79	3.5
165	2008	6	13	14	19.5	2.7	13.71	6
166	2008	6	14	10	22	3.6	21.69	0
167	2008	6	15	12.9	21.5	2.3	11	1
168	2008	6	16	14	23.6	3.1	11.67	6.3
169	2008	6	17	14	20.5	2.9	11.76	1.9
170	2008	6	18	11	27	3.9	28.94	0
171	2008	6	19	13	29	4.7	29.63	0
172	2008	6	20	13.4	29	4.8	28.43	0
173	2008	6	21	18.9	33	6	29.04	0
174	2008	6	22	20.8	32	5.6	20.24	0
175	2008	6	23	21	32.5	4.7	25.71	0
176	2008	6	24	19	25.5	3.4	20.01	0
177	2008	6	25	18	27.2	3.5	22.89	0
178	2008	6	26	18.3	29	4.7	27.33	11.6
179	2008	6	27	15.5	27.2	4.9	30	0
180	2008	6	28	14	30	5.1	29.93	0
181	2008	6	29	15	31.2	5.5	30	0
182	2008	6	30	17.5	30.5	4.9	29.86	0
183	2008	7	1	19.5	35	6.3	26.39	0.7
184	2008	7	2	19	26	3.1	9.13	3.4
185	2008	7	3	14	22.5	3.6	20.11	0
186	2008	7	4	12.4	30	5.3	29.78	0
187	2008	7	5	18.2	24	3	12.75	24.8
188	2008	7	6	14	18	2.3	8.76	2
189	2008	7	7	13.9	22	3.8	22.98	0
190	2008	7	8	12.9	25.1	4.5	26.66	0
191	2008	7	9	13.5	31.5	5.1	29.12	0
192	2008	7	10	17	33	5.3	27.95	0
193	2008	7	11	17.1	25	3.3	13.5	4.2
194	2008	7	12	17	18.2	2	7.75	4
